Store,Latitude,Longitude,Address,CreatedAt,Text,Senti,Rating,Source
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,1/13/2015,"I found this location to be much more helpful and friendlier than other locations I have visited (the one on Park lane and on Alpha).They were very courteous and understanding of my situation.  ...I actually had Mason, the guy David W. reviewed, help me.  The only reason why I know about David's review is while waiting for a manager Mason brought up the review and read it to me.  It was a celebrity mean tweets experience.  We both had a laugh about it.I bring this up because I think if Mason wasn't confident in his ability to help people/be a good worker he wouldn't be able to laugh at himself.Anyway, the people here really worked with me to help me fix my problem (iphone had a blemish out of the box).  Unlike the other AT&T stores I've been to, here they accept the fact that DOA's are AT&T's responsibility and not Apple's (if I went to Apples they could switch it out, but then I would only have a 90 day warranty)I actually really like Mason and thought the whole staff here was very friendly.",,5,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,4/27/2016,"Went in here to ""upgrade"" my iPhone 6+ to a Galaxy S7 Edge, and ended up regretting it in more ways than one...I initially filled the order online and within an hour or so, I got an E-Mail saying my new phone was ready for pickup. I went into the AT&T Store (don't remember who helped me) and picked up my new phone and went through the phone's initial boot process with him. It wasn't until I walked out that I realized that the representative helping me failed to transfer the plan I had before to the new phone. I had walked out with no data plan, no texting ability at all, and a talk plan that would be similar to the senior plan AT&T offers. My grandfathered unlimited plan was gone!I ended up having to call AT&T and it took days for them to fix what the representative at the store screwed up. Next time I am looking to 'upgrade', it won't be at this store as that representative almost cost them a customer who's been with AT&T for 20 years. That representative got a nasty 'review' when AT&T did their ""how did we do"" automated follow-up call the next day..My Phone also came with a defective charging cable. Rather than step foot back in that store, I bought a new one from monoprice(dot)com for $2. All-in-All, I love AT&T, but I won't ever step foot in that store location again.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,10/16/2016,"I've been here many times over the years, reluctantly. Today was no different - very poor customer service, until you speak to the manager. Thank goodness for her. Today the gentleman I was assigned to became quite rude for no reason. I simply told him the price was different online, at which point he became offended and walked away. AT&T really needs to get its act together.",,2,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,1/27/2016,"Buyer beware! I had an unlimited plan and went in for my 2-year contract new phone. They told me I never had an unlimited plan, and I was gullible and believed them. So much for seeing good in people. Now I am on a 3G plan but did not realize it until I was getting notifications about my data being up. Very slimy salesmen. Now I cannot get unlimited because corporate says ""yes you did have it but now that 's your problem because it is too late."" Do not trust the people here. It is better to get your items online where you can read your current contract too. Just like with getting your car checked up, you still need to know as much as possible to avoid the scams.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,9/20/2016,"I have tried to contact store per ATT Uverse instructions, 37 calls no response. Unacceptable customer service.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,10/24/2015,"You guys simply suck...Your a scam artist company which should be monitored or shut down for piss poor quality and even worse customer service.How do you, as a successful money generating company, neglect so many of your customers? I've seen your FB page and it is horrific... ashamed is what ya'll should be for being such a crooked ass company. I watch the wolf of Wallstreet and see decaprio doing haunting things within the company and I immediately believe that's what your corporate big wigs are doing over at at&t... root I'm sorrow and dismay.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,10/27/2015,"Service is super slow.  Had to leave after waiting for an hour.When I came back, they kept skipping my turn and made me wait 45 more minutes.  When I asked the manager,  she defiantly said they gave priority to people that made online reservations over people that waited in the store.  I asked to talk to her supervisor and she went into his/her office and when she walked out she said I had to resolve this with her,  because her supervisor could not see me.Tired of this nonsense.  Their in store customer service is as bad as their service over the phone.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,1/19/2016,One of the worst place to come and fix your phone. The staff appear to keep the music loud and enjoy instead of paying attention to customers. please go somewhere else.,,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,10/24/2014,"Consistently good customer service and, even though they are extremely busy, I have never had to wait more than a few seconds to have one other staff work with me. I have worked with a half dozen different staff members regarding a number of different topics and they have all been efficient, knowledgeable and a pleasure to work with.",,4,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,5/24/2016,The store is set up in a very awkward way. There's a front desk where they set you up with someone and you sit at these random stations. Daryl was my associate and we began the process of getting me a new phone. He then told me that my name wasn't on the account as an authorized user even though it's a business account that I pay for. I never have this problem with the AT&T store I normally go to in east Texas so I left in a bad mood. Went back to my usual AT&T store with absolutely no problems at all! Turns out the employees at this location are incompetent. Will not return ever again.,,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,"8/28/2014
            
                
    
        
    

                Updated review","I was really happy with the service I got in-store until I realized that I had been lied to. The associate, Kim Dunlap, told me that I was getting a $50 plan +2G data. She flat out lied, as I have come to figure out.I only get 1G, and they automatically charge my account $20 when I use it up, and only to add just 1 more! I have only had service with AT&T for less than 2 months, and I'm already regretting my decision. I called to address the issue several times, but AT&T's response (both in-store and over the phone) was that they wouldn't honor what their own associate assured me they I would be getting. The manager at the Oak Lawn location where I bought the phone wouldn't even return my calls on the matter. The first time I called, he said he'd look info the issue and see what he could do. Here I am a week later still waiting on that phone call.  So AT&T is clearly a bunch of bait & switch thieves who don't honor their word. Will be following up with complaints through the BBB and FTC.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,10/5/2015,Absolutely useless. Don't wast your time manager is a joke and has no idea what he is doing,,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,9/30/2015,"I had great service at this store by Uriel after having a not so good experience at a different location. They were willing to work with me and were very understanding. Also he really made sure to make me aware of each promotion that was going on. This location was busy but it did not affect my service at all. He also took the the effort to try and get my security deposit waived which I did not even know was possibly at the other location. Very clear, honest, direct service. Thank you!",,5,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,12/19/2014,"This review is for THIS LOCATION - not AT&T in general, which I have been very happy with.My husband lost his phone, so we had to purchase a new one and get it set up on our account.  We walked in, were asked lots of generic questions (our name, phone number the account is under, etc) which were entered into a tablet.  We waited quite a while before someone could help us (understaffed).Once we were brought up, we were asked *the same questions again*.  Why did you enter it in a tablet and bother us with it to begin with if you're just going to ask it all again?  But whatever, minor thing.What really upset me, is this was a totally straightforward request.  Buy a new phone (we even knew EXACTLY what we wanted!), remove the old device for that number, and add the new device to the existing number.I got so frustrated with the man not understanding our request I had to go sit in a corner, quietly by myself, for a while and let my husband handle it.  He was confident the guy had set it up correctly.Well, he didn't.  A VERY SIMPLE request that should be something they do on a daily basis was so royally screwed up it took me half an hour on the phone with AT&T customer support to fix it.  Oh they knew right away what he had done wrong, it just took them that long to sort it all out on the account.",,1,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,11/24/2015,"After you purchase all your gear, it takes about a year to strip away all the excess charges and fees. Do your homework on the billing.  As far as the staff, they are the best. They take the time necessary to answer all your questions.",,5,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,9/10/2015,"I went to several stores before this one and I was shocked to find a store so helpful and honest after several other bad experiences. They looked at my account and gave me some helpful advice that saved me a little bit of money each month and took time to walk me through some other account options without trying to push one thing on me. I wouldn't really have known that it was a store specific thing if I hadn't gone to 2 different stores over the previous 2 days and had terrible experiences. Also, I went to this store twice, was helped by different staff members and the experience was great both times. It's new iPhone time now and I am going out of my way to go to this location.",,5,Yelp
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,2/20/2016,AT & T is the worst company for phone service. I keep calling them to disconnect my phone service. They keep sending me bills. I am planning to sue them. Just a terrible company.,,1,Yelp
