Store,Latitude,Longitude,Address,CreatedAt,Text,Senti,Rating,Source
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 18:47:40 +0000 2016," We went in to get my service restored since I had been disconnected. I had spoken to people through chat and on the phone and I was given a price to pay. When we walked in to get them turned back on, I was given the run around for about 3 hours. Marcus was these ales agent helping out and he has nod ear that he was ana gel that day. He did everything he could to make sure we walked out with service. It took a long time but. Did walk outwu the my service reconnected. Marcus at this loction was a blessing in disguise. Thank you Marcus for all you did to help me. ",,5,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 14:05:52 +0000 2016," I went in to activate a 3rd phone on our account.  Casey Alexander helped us.  A few hours later, I tried to look up my cell phone account and they had all disappeared and inaccessible.  I called AT&T customer service but the person on the phone said he didn't know why.  I called up the store, and asked to speak to the manager: Clinton Brower. Over the phone, he asked for my internet username and password.  I've never heard of anyone asking for a private password over the phone.  I told him that I would rather come in person.  I went there, and after spending an hour there with Clinton and Casey, neither could fix my account.  So basically, I've wasted 2 hours of my time on the phone and in the store for a problem created by AT&T.  And, to top it off, Clinton offers up a 25% discount on a iPhone case for all my troubles.  Insult to injury.  Not only, did the Oak Lawn store somehow managed to make my account inaccessible, and then unable to fix it, the manager instead offering me a credit to my account decided to give a $7 discount on a cheap but overpriced case for me to actually buy.  Now that's ""customer service""!  Good luck to all that visit this store.  Don't expect serious help. ",,3,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 13:44:31 +0000 2016," The person I talked to was rude and kept using an aggressive tone towards me. I went in for a question I had about my account (I have been an AT&T customer for over 9 years). Cannot believe his tone and attitude, my guess is due to the fact that my question was not going to generate a commission for him. Way to go on the customer service AT&T,  just gave me another reason to switch. ",,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Sun Mar 16 23:37:12 +0000 2016," I went to the AT&T Store to buy a cell phone. The one I was originally interested was out of stock, but that's ok because it had just come out earlier this month and I decided I didn't really want that one anyway. All was well until I got home and tried to put my MicroSD card in my new phone. Bryan had forgotten to put the SIM tool back in the box. I went to the store the next day and Bryan was not there, but I talked to Lupe. She said Samsung no longer puts SIM card tools in their boxes. She did not believe me or my companion when we said we saw Bryan take it out of the original box (later I did research online and it said that the SIM tool does come in the box). Anyway, she gave us an old Nokia SIM tool and I was happy to get what I came for, but a little perturbed by her conversation with us. Today, I checked my email, and there's an email thanking me for signing up for AT&T Mobile Insurance on my new cell phone. I was not told about that and I did not want that plan which added $7.99/month to my bill. I love my phone, but I am not happy with my experience at this AT&T Store. ",,2,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Sun Mar 16 21:00:42 +0000 2016,"AT&T_t is a criminal organization look it up on the internet don't believe me sending over 30 thousand emails per day of confidential confidential information domestic and foreign leaders
All this was released on Snowden files the rest of the world knows this and hates us for it thanks AT&T that's all we need is more people hating us
Are you trying to bring down the US are you even a US company is that why you're trying to destroy the US ",,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 23:04:06 +0000 2016,"I have been an AT&T customer for some 10 years or better and I must say that the customer service stinks. I would have to agree with the previous comment, "" They truly don't care about the customer. These people are really only concerned about their pockets. The Product is very good but they are very pricey and charge you for every little thing. Thumbs down to AT&T...do not get tangled up with this company. ",,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 23:03:34 +0000 2016," Was pretty well organized, walked in and was greeted right away and added to the queue. It wasn't empty so we expected to wait a little bit, and we did. We walked around for about 15 minutes, everything was working, clean, they let me use their restroom, and then we were assisted by a rep. Rep was average, she had to ask the manager for the differences between plans, but maybe she was new, but she was nice. We were in and out in 45 minutes. ",,3,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 21:28:57 +0000 2016, Fast location! Helped me out a lot  ,,5,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 21:21:52 +0000 2016," I went into the store this morning to have a iPhone switched to another iPhone. Excellent service, I was met at the door and within minutes of checking in a representative introduced himself, Jon, he knew exactly what I needed and was quick. He got me a new sim card and loaded it for me.  I was literally out of the store within 15 min. of entering. I could of easily picked up the sim card and done this all myself but Jon was eager to assist so I let him do it there in the store.
Everyone with whom I came in contact with at this store was friendly and efficient. 
Yes, I will recommend this store to anyone needing service or  AT&T cell service. ",,5,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 03:46:09 +0000 2016," Pleasant, nice and helpful employees  ",,4,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 18 21:48:42 +0000 2016," WORST EXPERIENCE IN MY LIFE! Signed up for there service on April 26, not satisfied with the data service ported my number to another carrier April 29, returned devices April 30.  May 2nd received my first bill in the amount of $255.48, I then contacted customer service.  I was told my service had not be canceled and could only be cancel by store. May 4 walked in office  were I was assured account was closed and would receive prorated bill for data used within those 4 days. May 26 received email stating account was past due and to prevent disconnection had to make payment. Contacted customer service, was informed no record of equipment being return and I am now being charge early termination fee for both lines. Once again customer service could not do anything and refer me back to the store.   ",,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 20:45:38 +0000 2016, Long lines during weekend.  Staff is friendly but be prepared to wait during weekends.   ,,3,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 18:47:40 +0000 2016," Horrible representatives almost as if they do not want to help or resolve any questions, very rude and uncomfortable experience i will never step foot in that store again i had to drive 20 miles down the road to ANOTHER corporate owned att(plano@75) where the staff is not only super helpful but friendly as well...WARNING!!! DO NOT GO TO THIS STORE!! ",,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 14:05:52 +0000 2016," What a waste of time! Rep didn't have any intention to help me and was very rude. I had really good experiences in other AT&T stores but for this one believe the other reviews, don't come here  ",,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Mon Mar 17 13:44:31 +0000 2016, Jon Rampone gives the best service.  I'm always in and out no matter what I need.  ,,5,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Sun Mar 16 23:37:12 +0000 2016, Great location.  ,,5,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Sun Mar 16 21:00:42 +0000 2016, My boss came into the store today on Oak Lawn. The lady was not helpful or very nice. He took his service to a different store. They were very nice! I would not recommend this store. Not NICE!!! ,,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 23:04:06 +0000 2016, Thanks Dylary for being so nice and patience.  ,,4,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 23:03:34 +0000 2016, Amazing store. Ayesha just a wonderful and kind person. ,,5,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 21:28:57 +0000 2016," I waited an hour for service.  Toesha assisted me and she was not able to fix my problem as i would have hoped, but she tolerated my displeasure and she gave an option to for me that me move on. I was thankful her patience with me.  I was under a deadline and she was not able to give me the solution i wanted, but she gave me an option. ",,3,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 21:21:52 +0000 2016, Very unprofessional. They only speak to and greet white customers. ,,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 11 03:46:09 +0000 2016, Didnt answer any of my questions... matter fact wouldnt even refer me to a warranty center to talk to a tech because of a hairline crack on my screen..... what happened to customer service??? ,,1,Google
Dallas2,32.8111091,-96.8092962,3329 Oak Lawn Avenue Dallas TX 75219,Tue Mar 18 21:48:42 +0000 2016," These guys are fast talking used car salesmen and only in it for the commission. They truly don't care about the customer. If you're going to buy an iPhone, save yourself hours of time and confusion and go to the Apple store.  ",,1,Google
